#,ID,Date,Description,Mode,Category,Sub Category,Amount,Balance,FCU Identified
1,1,14-10-2021,UPI/928511794450/NO REMARKS/mryadav5008@upi/Allaha,upi,other credit,other,3000,4218.31,
2,2,14-10-2021,IPS/MASTER FUEL/202110131237/000000000980/GURGAON,ips,expenses,fuel,-310,3908.31,
3,3,14-10-2021,NFS/S1ANMA96/CASH WDL/13-10-19,atm,withdrawal,other,-3000,908.31,
4,4,14-10-2021,APBS/IOC Ref No3000037634/9111087652772,other,subsidy,other,64.62,972.93,
5,5,15-10-2021,BIL/RCHG/001824020478/Vodafone -/9386178468,bill online,expenses,recharge,-26,946.93,
6,6,16-10-2021,VPS/AKASHI FILL/202110160931/928904286115/GU RGAON,vps,other debit,other,-310,636.93,
7,7,17-10-2021,INF/INFT/021616771861/AB ENTERPRISES /Manish,inft,other credit,other,10000,10636.93,
8,8,17-10-2021,NFS/S1ANND07/CASH WDL/17-10-19,atm,withdrawal,other,-10000,636.93,
9,9,19-10-2021,VPS/AKASHI FILL/202110191048/929205300775/GU RGAON,vps,other debit,other,-310,326.93,
10,10,22-10-2021,ECSRTNCHG211019_SR642420885,ecs,charges,bounce,-326.92,0.01,
11,11,22-10-2021,VISA REF AKASHI FILLING STATION,visa,reversal credit,other,2.33,2.34,
12,12,22-10-2021,VISA REF 24 Seven Filling Statio,visa,reversal credit,other,2.33,4.67,
13,13,23-10-2021,ECSRTNCHG211019_SR642420885G ST,ecs,charges,bounce,-4.67,0,
14,14,24-10-2021,VPS REF AKASHI FILLING STATION,vps,reversal credit,other,2.33,2.33,
15,15,25-10-2021,VPS/Larsen-Elliott/610534216583/East Robertborough,ecs,expenses,fuel,-3259.42,3535689.66,Fraud Identified
16,16,25-10-2021,UPI/929842289858/Payment from Ph/7860890829@ybl/ID,upi,other credit,other,10000,10002.33,
17,17,26-10-2021,"VPS/Castro, Davis and Foster/354998582527/Laurashire",inft,subsidy,other,1704.51,1112819.9,Fraud Identified
18,18,26-10-2021,ATM DEC CHG/03-01-05/GST,vps,reversal credit,recharge,692.07,1772080.88,Fraud Identified
19,19,27-10-2021,NFS/LLND07/CASH WDL/03-07-88,vps,withdrawal,loan,-3347.02,3655258.52,
20,20,28-10-2021,IPS/MASTER FUEL/643916488554/000000000980/Youngtown,vps,other credit,fuel,-1167.72,3798508.83,
21,21,28-10-2021,VPS/KARMVEER FI/202110261051/929905741550/GUR GAON,vps,other debit,other,-310,9692.33,
22,22,28-10-2021,ATMDEC CHG/13-10-2021/1560+GST,atm,charges,decline,-29.5,9662.83,
23,23,28-10-2021,ATM/SPCND037/CASH WDL/27-10-19,atm,withdrawal,other,-1000,8662.83,
24,24,28-10-2021,ECSRTNCHG211019_SR642420885G ST,ecs,charges,bounce,-81.41,8581.42,
25,25,29-10-2021,APBS/IOC Ref No4314947803/40687251271332,vps,subsidy,loan,6581.57,311491.38,
26,26,29-10-2021,APBS/IOC Ref No6015791591/22763830145790,imps,other credit,other,-4538.78,2479991.45,Verified
27,27,29-10-2021,APBS/IOC Ref No9650618800/77010261022470,upi,expenses,fuel,-1545.95,3252509.03,Fraud Identified
28,28,30-10-2021,VPS/Ali Ltd/11446326127/Greenside,atm,withdrawal,loan,6042.32,1667654.77,Fraud Identified
29,29,31-10-2021,MMT/IMPS/930410862353/Bick emi/Anand kuma/YESB0000,imps,loan,other,-4005.9,4575.52,
30,30,31-10-2021,VISA REF KARMVEER FILLING STATI,visa,reversal credit,other,2.33,4577.85,
31,31,01-11-2021,INF/INFT/311802798071/Hill-Murphy /David,ecs,withdrawal,recharge,-3368.71,1344845.85,
32,32,01-11-2021,NFS/LCND07/CASH WDL/08-03-96,inft,expenses,other,4193.26,4119787.49,
33,33,01-11-2021,CMS/000573987107/BAJAJ_AUTO_C D__580DPFFC021540,cms,loan,auto,-1529,3048.85,
34,34,01-11-2021,INF/INFT/021659577511/AB ENTERPRISES /Manish,inft,other credit,other,1000,4048.85,
35,35,03-11-2021,UPI/326256671979/NO REMARKS/jennymyers@upi/Thomasshire,atm,expenses,other,7094.15,452600.98,Fraud Identified
36,36,03-11-2021,APBS/IOC Ref No7363057193/1747346577774,atm,subsidy,recharge,2119.68,3560172.37,Verified
37,37,04-11-2021,ATM DEC CHG/23-01-81/GST,inft,other credit,other,8802.78,2266645.25,Verified
38,38,04-11-2021,NFS/WXND07/CASH WDL/03-08-99,atm,withdrawal,fuel,4320.11,2498859.69,Fraud Identified
39,39,05-11-2021,IPS/MASTER FUEL/91479183355/000000000980/West Angelabury,imps,reversal credit,loan,6833.29,4638369.04,Fraud Identified
40,40,06-11-2021,BIL/RCHG/505612012/Vodafone -/(437)741-5477x708,upi,subsidy,loan,-1195.09,1516891.13,Fraud Identified
41,41,06-11-2021,"INF/INFT/532359826319/Gonzales, Martinez and West /Debbie",imps,other credit,bounce,-2946.74,4118793.82,Verified
42,42,06-11-2021,UPI/652993416308/NO REMARKS/michaeldyer@upi/Port Keith,ecs,other credit,loan,998.13,4125749.53,Fraud Identified
